SampleTitle,Sample_geo_accession,Stage,CellType,CellLine
FM_1,GSM2344965,primary melanocytes,normal melanocytes,FM
FM_2,GSM2344966,primary melanocytes,normal melanocytes,FM
FM_3,GSM2344967,primary melanocytes,normal melanocytes,FM
SK_MEL_28_1,GSM2344968,metastatic,melanoma cell line,SK_MEL_28
SK_MEL_28_2,GSM2344969,metastatic,melanoma cell line,SK_MEL_28
SK_MEL_28_3,GSM2344970,metastatic,melanoma cell line,SK_MEL_28
SK_MEL_147_1,GSM2344971,metastatic,melanoma cell line,SK_MEL_147
SK_MEL_147_2,GSM2344972,metastatic,melanoma cell line,SK_MEL_147
SK_MEL_147_3,GSM2344973,metastatic,melanoma cell line,SK_MEL_147
UACC_62_1,GSM2344974,metastatic,melanoma cell line,UACC_62
UACC_62_2,GSM2344975,metastatic,melanoma cell line,UACC_62
UACC_62_3,GSM2344976,metastatic,melanoma cell line,UACC_62
